#NSGA2
popsize 100
maxGen 50
numVar 7
numObj 4
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 50
currentGen	1
evaluateCount	100
totalTime	3.13208
firstFrontCount	10
frontCount	4
avgEvalTime	0.0306342
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Obj1	Obj2	Obj3	Obj4	Cons1	Cons2	Cons3	
72.0121	53.8686	45.1056	8	19.3418	1887.3	0.0894509	1	1	-1	-1	0	0	0	
69.2993	53.7814	48.6625	6	9.75896	2923.12	0.0531929	1	1	-1	-1	0	0	0	
75.2163	52.8378	48.9815	6	13.8163	2063.07	0.0636454	1	1	-1	-1	0	0	0	
65.6141	53.4578	47.9887	7	10.8079	2036.39	0.0633488	1	1	-1	-1	0	0	0	
71.2579	52.2369	46.1377	8	11.0523	1664.52	0.0520954	1	1	-1	-1	0	0	0	
67.4814	54.2716	49.6461	11	19.8956	1728.25	0.0666746	1	1	-1	-1	0	0	0	
69.2777	52.0248	48.7715	6	14.7111	1602.52	0.0937585	1	1	-1	-1	0	0	0	
67.4919	53.1934	46.1101	10	13.4079	1641.68	0.0653623	1	1	-1	-1	0	0	0	
67.5772	53.9907	49.3288	12	19.0368	2646.75	0.0997487	1	1	-1	-1	0	0	0	
72.4942	53.5455	45.7187	11	19.2174	2618.93	0.0702851	1	1	-1	-1	0	0	0	
77.7271	53.9561	49.3711	5	10.2989	2743.56	0.06373	1	1	-1	-1	0	0	0	
75.8443	54.7779	45.6424	7	15.0989	2829.73	0.0829739	1	1	-1	-1	0	0	0	
76.779	54.2516	49.0274	4	19.9059	2157.83	0.0535	-6.45581	-98.6492	2.6809	2.10074	0	0	0	
68.5012	54.0189	46.0304	11	19.3641	2930.82	0.0586218	1	1	-1	-1	0	0	0	
78.7251	53.7432	48.0961	10	15.2974	1604.77	0.0988193	1	1	-1	-1	0	0	0	
78.681	52.201	49.5387	12	16.543	2837.56	0.0816622	1	1	-1	-1	0	0	0	
75.5221	54.284	45.5889	10	18.9284	2595.8	0.0880424	1	1	-1	-1	0	0	0	
71.306	53.3367	49.6068	11	15.2851	1764.65	0.0984407	1	1	-1	-1	0	0	0	
70.302	52.4393	48.5733	9	10.5742	1836.89	0.0501159	1	1	-1	-1	0	0	0	
66.1489	52.4066	45.0531	7	16.1691	1772.37	0.0987609	1	1	-1	-1	0	0	0	
76.1344	52.0806	46.6657	6	18.8543	2789.08	0.0514614	1	1	-1	-1	0	0	0	
65.9259	53.3752	49.7202	10	12.1865	2448.28	0.0927398	1	1	-1	-1	0	0	0	
72.0492	52.3872	46.1951	4	10.1101	1947.78	0.0679072	1	1	-1	-1	0	0	0	
70.1148	52.3811	46.1006	5	13.5494	2189.39	0.0773745	-4.24892	-84.8486	1.84613	2.14983	0	0	0	
73.0063	52.261	49.9584	11	10.4441	2348.76	0.0588	1	1	-1	-1	0	0	0	
66.8184	54.9031	46.7114	8	16.7514	1504.21	0.0622985	1	1	-1	-1	0	0	0	
78.8961	54.4343	49.6093	4	13.9725	2576	0.0574299	-3.59752	-51.6253	1.87407	2.88989	0	0	0	
77.6211	53.8398	48.9697	6	16.3254	2994.01	0.0601849	1	1	-1	-1	0	0	0	
76.3491	53.3897	48.9605	11	14.3723	1968.78	0.0773859	1	1	-1	-1	0	0	0	
78.0631	52.0282	49.8607	12	11.1102	2522.72	0.0814988	1	1	-1	-1	0	0	0	
70.2788	53.1348	48.9375	9	16.394	1860.52	0.0817799	1	1	-1	-1	0	0	0	
66.4292	53.7685	46.8982	8	19.876	1688.42	0.0631275	1	1	-1	-1	0	0	0	
66.0678	54.3071	47.0671	10	12.2762	2215.34	0.0612084	1	1	-1	-1	0	0	0	
68.5501	54.684	47.951	10	19.4445	2430.38	0.0674892	1	1	-1	-1	0	0	0	
70.8535	52.3942	49.0203	5	15.3606	2913.16	0.0992576	-7.55843	-108.852	2.09692	2.2078	0	0	0	
76.6155	52.6403	48.201	4	14.2849	2846.5	0.051259	-4.0916	-56.3269	1.92421	2.94099	0	0	0	
73.2435	53.8636	49.1557	10	9.73528	2249.11	0.0781924	1	1	-1	-1	0	0	0	
69.6896	54.9906	45.2923	8	9.92253	2437.29	0.0740946	1	1	-1	-1	0	0	0	
67.7822	53.4616	48.957	5	16.4692	2330.44	0.0641603	-8.73246	-147.202	2.26559	1.97111	0	0	0	
75.5917	53.1378	45.845	6	19.3992	2843.56	0.0653756	1	1	-1	-1	0	0	0	
77.2816	53.7429	47.9692	8	11.954	2032.99	0.0912866	1	1	-1	-1	0	0	0	
